,xd,article_id,response,qid
0,Apr-25,1073,0,85837
1,Sep-26,4807,0,85837
2,Aug-28,6379,0,85837
3,May-30,4909,0,85837
4,Jan-30,9953,0,85837
5,Apr-25,8410,1,85837
6,Jan-30,2105,0,85837
7,Jan-30,7197,0,85837
8,Sep-26,5326,0,85837
9,Oct-30,7453,0,85837
10,Mar-27,2631,0,85837
11,Feb-27,6184,0,85837
12,Mar-27,4434,0,85837
13,Jun-26,5742,0,85837
14,Aug-28,8921,0,85837
15,Aug-28,9492,0,85837
16,Jul-24,8218,0,85837
17,Jun-26,4909,1,85837
18,Mar-27,2923,1,85837
19,Feb-27,5951,0,85837
20,Jan-30,9897,1,85837
21,Jul-24,6200,0,85837
22,Mar-27,8952,0,85837
23,Jul-24,6379,1,85837
24,Sep-26,8952,0,85837
25,Oct-30,9893,0,85837
26,Sep-26,9893,0,85837
27,Feb-27,5259,0,85837
28,Jul-24,8952,0,85837
29,Jul-24,5742,0,85837
30,Feb-27,7697,0,85837
31,Jun-26,8952,0,85837
32,Jan-30,5788,0,85837
33,Oct-30,2272,0,85837
34,Sep-26,2601,0,85837
35,Oct-30,2601,0,85837
36,Aug-28,4380,0,85837
37,May-30,3246,1,85837
38,Apr-25,1226,0,85837
39,May-30,5742,0,85837
40,Aug-28,4234,0,85837
41,Jan-30,1226,0,85837
42,Oct-30,2050,0,85837
43,Sep-26,1561,1,85837
44,Jan-30,4458,0,85837
45,Mar-27,3755,0,85837
46,Sep-26,4234,0,85837
47,Oct-30,4234,0,85837
48,Sep-26,8987,1,85837
49,Mar-27,2852,0,85837
50,Apr-25,2229,0,85837
51,Oct-30,9922,1,85837
52,Feb-27,9237,0,85837
53,Feb-27,2923,0,85837
54,Jun-26,4326,1,85837
55,Jan-30,4275,0,85837
56,Jul-24,9800,0,85837
57,Mar-27,5919,0,85837
58,May-30,6200,0,85837
59,Aug-28,5925,0,90502
60,Feb-27,7387,1,90502
61,Mar-27,2852,1,90502
62,Sep-26,4234,0,90502
63,Jan-30,7197,1,90502
64,Oct-30,4234,0,90502
65,Jun-26,4234,0,90502
66,Aug-28,9492,1,90502
67,Jun-26,4150,0,90502
68,Feb-27,7697,0,90502
69,May-30,4909,0,90502
70,Jan-30,1226,0,90502
71,Apr-25,5172,0,90502
72,Aug-28,1561,0,90502
73,Jan-30,2105,0,90502
74,Jan-30,5788,0,90502
75,Mar-27,8962,0,90502
76,Jun-26,6200,0,90502
77,Feb-27,5259,0,90502
78,Mar-27,8952,0,90502
79,Jan-30,4275,0,90502
80,Jul-24,8218,0,90502
81,Jul-24,6379,0,90502
82,Sep-26,8987,0,90502
83,Feb-27,8407,0,90502
84,Aug-28,8952,0,90502
85,Aug-28,8987,0,90502
86,May-30,5742,0,90502
87,May-30,8952,1,90502
88,Sep-26,8952,0,90502
89,Aug-28,8921,0,90502
90,Mar-27,4434,0,90502
91,Jun-26,4909,0,90502
92,Jul-24,9800,0,90502
93,Aug-28,4380,0,90502
94,Apr-25,8485,1,90502
95,Aug-28,9893,0,90502
96,Sep-26,4308,0,90502
97,Jan-30,9953,0,90502
98,May-30,8410,0,90502
99,Oct-30,9893,0,90502
100,Mar-27,2923,0,90502
101,Apr-25,1226,0,90502
102,Sep-26,5326,0,90502
103,Oct-30,2601,0,90502
104,Mar-27,3755,1,90502
105,Jul-24,4234,0,90502
106,Oct-30,8952,0,90502
107,Apr-25,4234,0,90502
108,Jun-26,8218,0,90502
109,Sep-26,2601,0,90502
110,May-30,5239,0,430968
111,Aug-28,8921,0,430968
112,Oct-30,8952,1,430968
113,Apr-25,4234,0,430968
114,Jan-30,4458,0,430968
115,Aug-28,4380,0,430968
116,Sep-26,4308,0,430968
117,Jan-30,4275,0,430968
118,Jan-30,2105,0,430968
119,May-30,3246,0,430968
120,Mar-27,8809,1,430968
121,Sep-26,4807,0,430968
122,Feb-27,7697,0,430968
123,Oct-30,9922,0,430968
124,Jun-26,4150,0,430968
125,Feb-27,5259,1,430968
126,Sep-26,4234,0,430968
127,Sep-26,5326,0,430968
128,Jun-26,8952,1,430968
129,Mar-27,8962,0,430968
130,Feb-27,7387,0,430968
131,Sep-26,8987,0,430968
132,Aug-28,5925,0,430968
133,Feb-27,2923,0,430968
134,Apr-25,1226,0,430968
135,Apr-25,4362,0,430968
136,Jan-30,9469,1,430968
137,Jul-24,4909,1,430968
138,Aug-28,6379,1,430968
139,Feb-27,8407,0,430968
140,Jul-24,6200,0,430968
141,Feb-27,5843,0,430968
142,May-30,5742,0,430968
143,Apr-25,8410,1,430968
144,Sep-26,8952,0,430968
