iter	Passed	Remaining
0	236	236730
1	477	238429
2	746	248061
3	1015	252956
4	1270	252815
5	1556	257810
6	1810	256872
7	2050	254211
8	2303	253611
9	2543	251770
10	2799	251699
11	3067	252544
12	3306	251072
13	3559	250695
14	3798	249428
15	4053	249318
16	4322	249927
17	4590	250411
18	4828	249325
19	5082	249063
20	5316	247854
21	5601	249023
22	5842	248166
23	6134	249452
24	6388	249133
25	6627	248282
26	6944	250272
27	7184	249387
28	7437	249043
29	7678	248275
30	7933	247998
31	8172	247217
32	8454	247751
33	8707	247407
34	8968	247283
35	9209	246610
36	9463	246305
37	9716	245985
38	9955	245320
39	10230	245540
40	10471	244927
41	10726	244662
42	10965	244046
43	11219	243767
44	11473	243487
45	11711	242896
46	11994	243203
47	12234	242660
48	12474	242115
49	12714	241569
50	12968	241316
51	13207	240779
52	13490	241038
53	13743	240771
54	13982	240242
55	14237	239997
56	14477	239511
57	14776	239989
58	15044	239951
59	15313	239907
60	15554	239433
61	15808	239174
62	16062	238890
63	16330	238828
64	16570	238366
65	16839	238304
66	17079	237834
67	17333	237567
68	17589	237329
69	17844	237079
70	18084	236632
71	18324	236177
72	18563	235732
73	18803	235294
74	19035	234770
75	19275	234344
76	19550	234348
77	19804	234097
78	20043	233674
79	20284	233267
80	20567	233351
81	20827	233167
82	21095	233071
83	21335	232662
84	21575	232256
85	21844	232162
86	22085	231769
87	22353	231668
88	22595	231281
89	22836	230897
90	23089	230644
91	23373	230688
92	23683	230973
93	23936	230709
94	24237	230891
95	24505	230757
96	24824	231094
97	25065	230703
98	25348	230695
99	25587	230291
100	25856	230149
